transformed_feature,signed_coefficient,absolute_importance
Inflation_Regime_Low,0.37441181587419325,0.37441181587419325
Relative_MACD_Hist_Pct,0.3118025193720702,0.3118025193720702
Sector_XLK,0.3033195923167139,0.3033195923167139
Inflation_Regime_High,-0.300097298780636,0.300097298780636
Rank_MACD_Hist_Pct,-0.27424064872091325,0.27424064872091325
Growth_Regime_Contraction,-0.2727440356784026,0.2727440356784026
Growth_Regime_Expansion,0.27010334334122604,0.27010334334122604
Sector_XLE,-0.2557533231487092,0.2557533231487092
Relative_Rolling_Return_60D,0.23469778572835903,0.23469778572835903
Rank_Rolling_Volatility_20D,-0.20856800286111302,0.20856800286111302
MACD_Pct,-0.19457911687705792,0.19457911687705792
Inflation_YoY,0.19429251907308243,0.19429251907308243
Rolling_Return_60D,0.1926711270920169,0.1926711270920169
MACD_Signal_Pct,-0.19230123252854775,0.19230123252854775
Market_Mean_MACD_Hist_Pct,-0.1843860489913326,0.1843860489913326
Rank_Rolling_Return_60D,-0.14227057101915458,0.14227057101915458
Relative_Rolling_Volatility_20D,0.13776696685208611,0.13776696685208611
GDP_Growth,-0.13157497846913807,0.13157497846913807
Rank_RSI_14,-0.12580877010059166,0.12580877010059166
Rolling_Volatility_60D,0.11384421145973841,0.11384421145973841
Momentum_20D,0.08045664424295795,0.08045664424295795
Rolling_Return_20D,0.08045664424295795,0.08045664424295795
Market_Mean_Rolling_Volatility_20D,-0.0770710374806471,0.0770710374806471
Inflation_Regime_Moderate,-0.076955209430734,0.076955209430734
Relative_Momentum_20D,0.07484612674630474,0.07484612674630474
Relative_Rolling_Return_20D,0.07484612674630474,0.07484612674630474
Rate_Regime_Falling,0.0633914266782744,0.0633914266782744
Market_Mean_Rolling_Return_60D,0.05807528717921355,0.05807528717921355
Sector_XLF,-0.050206961505180045,0.050206961505180045
Daily_Return,-0.047536155030418845,0.047536155030418845
Market_Mean_Momentum_20D,0.04722056550884808,0.04722056550884808
Market_Mean_Rolling_Return_20D,0.04722056550884808,0.04722056550884808
Rate_Regime_Rising,-0.04349865191638186,0.04349865191638186
Rate_Regime_Stable,-0.022533467099068283,0.022533467099068283
Rolling_Return_5D,-0.021950386898177836,0.021950386898177836
Rolling_Volatility_20D,-0.020229388280425944,0.020229388280425944
Relative_RSI_14,-0.01949319086748112,0.01949319086748112
Market_Mean_RSI_14,0.016329563634135593,0.016329563634135593
MACD_Hist_Pct,0.011037273680147543,0.011037273680147543
FedFunds_Rate,0.005906482133155133,0.005906482133155133
Rank_Momentum_20D,0.0016475401637646174,0.0016475401637646174
Rank_Rolling_Return_20D,0.0016475401637646174,0.0016475401637646174
RSI_14,-0.0007748538173235474,0.0007748538173235474
