transformed_feature,importance
MACD_Signal_Pct,0.05591965577092768
Relative_Rolling_Return_20D,0.050283767092492174
MACD_Hist_Pct,0.050277083463299226
Relative_MACD_Hist_Pct,0.0455335531487081
Rolling_Return_60D,0.04465544272399812
Daily_Return,0.04310951930595946
MACD_Pct,0.04266037406616966
Relative_RSI_14,0.04023773386925696
Momentum_20D,0.03926261281109524
Relative_Momentum_20D,0.038555326383479
Relative_Rolling_Volatility_20D,0.037525881354147785
Relative_Rolling_Return_60D,0.037419379693343253
Rolling_Return_20D,0.03667089656014421
Rolling_Return_5D,0.034284283528041505
Rolling_Volatility_60D,0.03274897562606299
Rolling_Volatility_20D,0.030225016187030163
GDP_Growth,0.029979832883813326
RSI_14,0.02937918595445265
Market_Mean_MACD_Hist_Pct,0.02861420643736261
FedFunds_Rate,0.027677275183634678
Market_Mean_RSI_14,0.026326168760860903
Market_Mean_Rolling_Return_60D,0.025037105526857464
Market_Mean_Momentum_20D,0.0245011896626463
Market_Mean_Rolling_Return_20D,0.024173980095001792
Inflation_YoY,0.023604249902910362
Market_Mean_Rolling_Volatility_20D,0.019507838354904033
Rank_Rolling_Volatility_20D,0.00954391454000207
Rank_Rolling_Return_60D,0.008541412745649603
Sector_XLE,0.008473559050516147
Sector_XLK,0.008075518219545668
Rank_MACD_Hist_Pct,0.0070602705528523
Inflation_Regime_Low,0.006947086318730292
Rank_Momentum_20D,0.0051146055021493025
Rank_RSI_14,0.005062546360358733
Rate_Regime_Rising,0.004840409291482759
Inflation_Regime_High,0.003884177709858972
Rank_Rolling_Return_20D,0.00373892580780705
Sector_XLF,0.0028948483414084486
Rate_Regime_Stable,0.002495852792624024
Inflation_Regime_Moderate,0.0018436226495081507
Growth_Regime_Contraction,0.0014072851703127536
Growth_Regime_Expansion,0.0011240157684915954
Rate_Regime_Falling,0.0007814148321026439
