model,fold,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Dummy,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.4791666666666667,0.5,0.4791666666666667,1.0,0.647887323943662,0.5
Dummy,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.5625,0.5,0.5625,1.0,0.72,0.5
Dummy,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.5625,0.5,0.5625,1.0,0.72,0.5
Dummy,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.4583333333333333,0.5,0.4583333333333333,1.0,0.6285714285714286,0.5
Dummy,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.4583333333333333,0.5,0.4583333333333333,1.0,0.6285714285714286,0.5
Logistic_Regression,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.5,0.48347826086956525,0.4,0.08695652173913043,0.14285714285714285,0.4956521739130435
Logistic_Regression,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.5416666666666666,0.5238095238095237,0.5806451612903226,0.6666666666666666,0.6206896551724138,0.47619047619047616
Logistic_Regression,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.5833333333333334,0.5502645502645502,0.5945945945945946,0.8148148148148148,0.6875,0.509700176366843
Logistic_Regression,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.3541666666666667,0.38286713286713286,0.3902439024390244,0.7272727272727273,0.5079365079365079,0.39335664335664333
Logistic_Regression,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.4166666666666667,0.43356643356643354,0.4117647058823529,0.6363636363636364,0.5,0.4160839160839161
Random_Forest,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.5208333333333334,0.5173913043478261,0.5,0.43478260869565216,0.46511627906976744,0.6139130434782608
Random_Forest,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.5,0.5026455026455027,0.5652173913043478,0.48148148148148145,0.52,0.49029982363315694
Random_Forest,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.4166666666666667,0.3915343915343915,0.48484848484848486,0.5925925925925926,0.5333333333333333,0.4285714285714286
Random_Forest,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.4166666666666667,0.4195804195804196,0.38461538461538464,0.45454545454545453,0.4166666666666667,0.4125874125874126
Random_Forest,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.3958333333333333,0.4003496503496503,0.37037037037037035,0.45454545454545453,0.40816326530612246,0.3881118881118881
Soft_Voting_Ensemble,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.5625,0.548695652173913,0.625,0.21739130434782608,0.3225806451612903,0.5582608695652174
Soft_Voting_Ensemble,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.5,0.48677248677248675,0.5517241379310345,0.5925925925925926,0.5714285714285714,0.4832451499118166
Soft_Voting_Ensemble,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.5208333333333334,0.4947089947089947,0.5588235294117647,0.7037037037037037,0.6229508196721312,0.4920634920634921
Soft_Voting_Ensemble,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.4166666666666667,0.44405594405594406,0.425,0.7727272727272727,0.5483870967741935,0.3758741258741259
Soft_Voting_Ensemble,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.4166666666666667,0.42657342657342656,0.4,0.5454545454545454,0.46153846153846156,0.38811188811188807
