model,fold,train_start,train_end,validation_start,validation_end,n_train,n_validation,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,ranking_correlation,valid_ranking_months
Logistic_Regression,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.5,0.48347826086956525,0.4,0.08695652173913043,0.14285714285714285,0.4956521739130435,0.09375,16
Random_Forest,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.5416666666666666,0.5391304347826087,0.5238095238095238,0.4782608695652174,0.5,0.6226086956521739,0.1875,16
Gradient_Boosting,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.5,0.4973913043478261,0.47619047619047616,0.43478260869565216,0.45454545454545453,0.6069565217391304,0.28125,16
Soft_Voting_Ensemble,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.5208333333333334,0.5156521739130435,0.5,0.391304347826087,0.43902439024390244,0.5843478260869566,0.21875,16
Regime_Switching_Ensemble,1,2016-02-29,2017-06-30,2017-08-31,2018-11-30,51,48,0.5208333333333334,0.5156521739130435,0.5,0.391304347826087,0.43902439024390244,0.5843478260869566,0.21875,16
Logistic_Regression,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.5416666666666666,0.5238095238095237,0.5806451612903226,0.6666666666666666,0.6206896551724138,0.47619047619047616,-0.125,16
Random_Forest,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.4791666666666667,0.47883597883597884,0.5416666666666666,0.48148148148148145,0.5098039215686274,0.4744268077601411,-0.09375,16
Gradient_Boosting,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.4375,0.43121693121693117,0.5,0.48148148148148145,0.49056603773584906,0.5132275132275133,-0.03125,16
Soft_Voting_Ensemble,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.4791666666666667,0.46825396825396826,0.5357142857142857,0.5555555555555556,0.5454545454545454,0.49559082892416223,-0.125,16
Regime_Switching_Ensemble,2,2016-02-29,2018-10-31,2018-12-31,2020-03-31,99,48,0.5208333333333334,0.5052910052910053,0.5666666666666667,0.6296296296296297,0.5964912280701754,0.47089947089947093,-0.09375,16
Logistic_Regression,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.5833333333333334,0.5502645502645502,0.5945945945945946,0.8148148148148148,0.6875,0.509700176366843,0.1875,16
Random_Forest,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.4166666666666667,0.3915343915343915,0.48484848484848486,0.5925925925925926,0.5333333333333333,0.4567901234567901,-0.0625,16
Gradient_Boosting,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.5208333333333334,0.5,0.5625,0.6666666666666666,0.6101694915254238,0.4797178130511464,0.0625,16
Soft_Voting_Ensemble,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.5,0.4814814814814815,0.5483870967741935,0.6296296296296297,0.5862068965517241,0.4973544973544973,0.15625,16
Regime_Switching_Ensemble,3,2016-02-29,2020-02-28,2020-04-30,2021-07-30,147,48,0.4583333333333333,0.43915343915343913,0.5161290322580645,0.5925925925925926,0.5517241379310345,0.46560846560846564,0.0625,16
Logistic_Regression,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.3541666666666667,0.38286713286713286,0.3902439024390244,0.7272727272727273,0.5079365079365079,0.39335664335664333,-0.1875,16
Random_Forest,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.375,0.3776223776223776,0.34615384615384615,0.4090909090909091,0.375,0.4160839160839161,-0.09375,16
Gradient_Boosting,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.4375,0.4458041958041958,0.41379310344827586,0.5454545454545454,0.47058823529411764,0.4300699300699301,-0.28125,16
Soft_Voting_Ensemble,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.3958333333333333,0.4143356643356643,0.4,0.6363636363636364,0.49122807017543857,0.3986013986013986,-0.34375,16
Regime_Switching_Ensemble,4,2016-02-29,2021-06-30,2021-08-31,2022-11-30,195,48,0.3958333333333333,0.4143356643356643,0.4,0.6363636363636364,0.49122807017543857,0.3986013986013986,-0.34375,16
Logistic_Regression,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.4166666666666667,0.43356643356643354,0.4117647058823529,0.6363636363636364,0.5,0.4160839160839161,0.0,16
Random_Forest,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.3958333333333333,0.40384615384615385,0.3793103448275862,0.5,0.43137254901960786,0.3846153846153846,-0.1875,16
Gradient_Boosting,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.375,0.3916083916083916,0.38235294117647056,0.5909090909090909,0.4642857142857143,0.33391608391608396,-0.25,16
Soft_Voting_Ensemble,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.3958333333333333,0.4143356643356643,0.4,0.6363636363636364,0.49122807017543857,0.36363636363636365,-0.125,16
Regime_Switching_Ensemble,5,2016-02-29,2022-10-31,2022-12-30,2024-03-28,243,48,0.3958333333333333,0.4143356643356643,0.4,0.6363636363636364,0.49122807017543857,0.36363636363636365,-0.125,16
