Signal_Date,Strategy,Selected_Sectors,Selected_Sector_Count,Invested_Weight,Cash_Weight,One_Way_Turnover,Execution_Rule
2024-05-31,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,1.0,Next trading session after signal date
2024-06-28,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.0,Next trading session after signal date
2024-07-31,Top_N_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.5,Next trading session after signal date
2024-08-30,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2024-09-30,Top_N_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.5,Next trading session after signal date
2024-10-31,Top_N_Equal_Weight,"XLF,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2024-11-29,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2024-12-31,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.0,Next trading session after signal date
2025-01-31,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.0,Next trading session after signal date
2025-02-28,Top_N_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.5,Next trading session after signal date
2025-03-31,Top_N_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.0,Next trading session after signal date
2025-04-30,Top_N_Equal_Weight,"XLF,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2025-05-30,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2025-06-30,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.0,Next trading session after signal date
2025-07-31,Top_N_Equal_Weight,"XLF,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2025-08-29,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2025-09-30,Top_N_Equal_Weight,"XLF,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2025-10-31,Top_N_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.5,Next trading session after signal date
2025-11-28,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2025-12-31,Top_N_Equal_Weight,"XLF,XLK",2,1.0,0.0,0.5,Next trading session after signal date
