Path,Week,Category,Lines,SHA256
docs/week2_methodology.md,Week 2,Documentation,138,3d97b2671e8af4a19903010b1c702807c31c995b9674bfb1cf1242cd26cf5141
docs/week3_methodology.md,Week 3,Documentation,158,76f3143e740a83b5ffaf7a227ea225b4db50456bfa41f5fc6da3a0244ae0767b
docs/week4_methodology.md,Week 4,Documentation,183,f29d7aa724ce670fedf467cb798cd738daaaa5bec528e5e6d9c79cef265c3b59
docs/week5_methodology.md,Week 5,Documentation,140,f084727c66dd5587441b688d5a8f6e19f290a6e8046213ad3ca0755996039afd
docs/week6_methodology.md,Week 6,Documentation,175,f2f51e53a5710ea01fe5df4d7cedfe0d836be0f7f48c2b55fe03893099dacd5e
docs/week7_methodology.md,Week 7,Documentation,150,dab6587b39311ebf4bf1ec6bc95e81b0230bae575d8fa5e94c3e55ea98fec871
docs/week8_methodology.md,Week 8,Documentation,94,c928cb4b92bdfe2769690d55f220c6fc94bd08326c587cea413509428c42ab7d
run_week2.py,Week 2,Runner,25,5f30b69c62d5bca63200e24887920ce4eb351248d2d2c28cbf7ee33f83c578fe
run_week3.py,Week 3,Runner,36,b99d3009949f5984b965e4fadf1668991167c99e239d8723d79b1f119d30d921
run_week4.py,Week 4,Runner,30,51c43ba674fc91f898690027c30ef66c9e702833fdae11b301f779023d3ca7b6
run_week5.py,Week 5,Runner,30,882570e1be6c5dc0542ec6f40b911b8ccc71dd68d509a8d47705520ace41a30c
run_week6.py,Week 6,Runner,30,b61ade81c376d2997e632d0c0c9c260c56b6d37d869464d3164985550ac8e1b8
run_week7.py,Week 7,Runner,28,6cd648f2f226ffe2d38dab6939c7af4ea2db1bced177145650aeb99f9949c492
run_week8.py,Week 8,Runner,28,a40f4f91921c87d5d077505744cf40d97779ee573f0ab4be4e52ab048c91ddc6
src/backtesting/backtest_week7.py,Week 7,Source Module,851,aec3149daeca8a6a8e8391eafff460ed5b1114d0f5782f884192edf1f25d0fbe
src/data_cleaning/clean_data.py,Shared,Source Module,139,b5e3337ed797dd8ac2ae20825963049c6bb9d91622de11e5c627a9636f5117b2
src/data_collection/collect_week1_data.py,Week 1,Source Module,222,9aeca390299cc702c80f65dc626e6b189ac069fd9716a369b73d2c772a8caf2a
src/data_collection/validate_week1_data.py,Week 1,Source Module,111,3d30f60a4431cd3efd76d29b06ca4b7b54353c4072918a322f7c3a25c45fb608
src/eda/run_eda.py,Shared,Source Module,203,69cd926bbf0facc8a304ca58783cb513eb7efd90ef101a734ccd15faf2835272
src/feature_engineering/build_features.py,Shared,Source Module,106,ca48d3250f5b6e7aa84019571164c0258d08c6b631a0ef9f011ca613dd3bfd93
src/modeling/build_model_dataset.py,Shared,Source Module,327,36360343255b7791c53015d0f270fb6229d26346d9e35869600240763396cdfd
src/modeling/train_models.py,Shared,Source Module,678,4159ea4f4ef4305404a606a1f0a641b381b34b337446ebb0a89ccc89bc112f80
src/modeling/train_models_week4.py,Week 4,Source Module,877,2d72310d50405d5ac3086780524b417596a6b545184f9e44610d35f4d04d5805
src/modeling/week4_estimators.py,Week 4,Source Module,148,4a0810d9f92cb65f3672e16009e96852cb7ead4392a2866e4dd102b28ff4322e
src/optimization/optimize_week6.py,Week 6,Source Module,1086,fcc286757654e26518e23a4c675ce30389bb89c3915c5b96ee0ff10820272863
src/reporting/build_week8_report.py,Week 8,Source Module,565,c7d006fbe37b9e1779ae0cb28fd57968f0823576e4b70c08ae313b112894b4ca
src/reporting/week8_utils.py,Week 8,Source Module,228,61fb987909e602535709a713fb683cea4d42491e22d0b7d7b1666ae1e4b48211
src/strategy/build_strategy_week5.py,Week 5,Source Module,608,d8140e5eb1210df9f6233904e4d8a794d336aaae93deee18dcea87dc27e36a9f
src/validation/validate_week2.py,Week 2,Validation,148,fdbac23ace83c1a877361ecc219fc35ceb94fbb5fd874d412ec42e6c2618d28e
src/validation/validate_week3.py,Week 3,Validation,162,6af304cda9f81182a34dcfda912e94afb9cde8bb9d3e8bddb69beef1b875c667
src/validation/validate_week4.py,Week 4,Validation,381,97ed62cc9259f4799f6337dd0b34c2904d32ac363ddc66e57e686b1f4c1f308e
src/validation/validate_week5.py,Week 5,Validation,288,beb485ae147d7c0d7b80a3bf3b29946f10272ec8b9febb1d865ceaa629bb60ff
src/validation/validate_week6.py,Week 6,Validation,266,0750bcbfa8eab89185b98671958929fa6a3e247f2c7558af5bdef22cc6721997
src/validation/validate_week7.py,Week 7,Validation,225,a84366c1172069a533eca7e124397d6b9ab1d14357e75ed0799b2c5cbdb98390
src/validation/validate_week8.py,Week 8,Validation,195,45d3f7a0a1176e9bb8b0c481f00ad63d05825d4fd2aafb84555cf63edbd67d1c
tests/test_week4_smoke.py,Week 4,Test,199,ee4f9ae8aca54f26fa995572ee60038c95c76275c42ad1fd2872cc8983ec2b8c
tests/test_week5_smoke.py,Week 5,Test,110,636558bde4085d48561bb1c26c60114badb33fa835621e40269bc3d3dccd10ae
tests/test_week6_smoke.py,Week 6,Test,238,8aa5a0e2cb30b0366ed3a45e3472174544b184a0c2c47217717868b2e350d10c
tests/test_week7_smoke.py,Week 7,Test,152,73addb5b49d1aa27d8bb7d24d0e89f9eb5df7665ce2503706f96be2e1af9be8c
tests/test_week8_smoke.py,Week 8,Test,176,5cc8d9fc13956f52d947f082d2a69f97197b30daeac7a6a09c0a99161859ab8d
